,reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime,helpful_numerator,helpful_denominator,unhelpful,metric,classification
74,A20E4M3KJRQJ71,B00556FET6,Obie B. Nevels,"[0, 1]",i love this watch  its big  i wanted big  its bold  i wanted bold  and the price was just right much lower than what i usually see on amazon  my only problem is the watch band its a struggle to buckle and unbuckle for me but im dealing with it,4.0,A really manly watch for sure!,1387152000,"12 16, 2013",0,1,1,-1.0,0
88,A1IH42TUIZ2XJL,B000NGKLNC,Gab,"[1, 1]",love this ring  it looks like the real deal fits perfectly and is simple  elegant  only you will know how little it cost dont tell anyone that they are cubic zirconias only a jeweler will know,5.0,Excellent fit (size 5) and sparkle aplenty,1312329600,"08 3, 2011",1,1,0,1.0,1
90,A2LBGF515H9CU3,B009HLOZ9U,Brad,"[0, 1]", but made in china and good lord talk about wrapped up tight it was like one of those russian doll sets doll inside a doll inside a doll inside a doll etc 3 or 4 wraps 2 of which were vacuum wrapped and taped hard as hell to get open without cutting the pants themselves,3.0,Pant is ok...,1377561600,"08 27, 2013",0,1,1,-1.0,0
97,A1H0HI1DFYEUMW,B000GQDUIW,G&gt;E&gt;M&gt;,"[0, 1]",for one size it does not really fit on someone like me though i fall in the category well the thigh highs are too tight on top and the top comes down too  low so the garters are too long  this would be good on a woman who is 51034  up weighing 125 lbs  waste of my money,2.0,Hard to put on & looks terrible...,1361318400,"02 20, 2013",0,1,1,-1.0,0
100,AEKB9BBR4GB8I,B0078FXHNM,Barbara Jones,"[0, 1]",this item is cheaply made will not recommend this item to others due to dull appearance and cheaply made chain no luster to product just not what i thought i was getting i realize it was inexpensive but i wont purchase another because it is too cheap to even give away to another as a gift,2.0,Owl necklace,1387238400,"12 17, 2013",0,1,1,-1.0,0
101,A426E7M5QPJUX,B0096OC1GW,Sher44,"[1, 3]",have yet to wear these boots in the rain but really like the way they look and fit  i have a large foot size 10 and usually look like i am wearing my fathers boots  feel like these are much better proportioned for a womans foot and plan to get lots and lots of good wear out of them in rain and in snow  since my foot is as large as it is wanted the navy blue pair to go with my jacket and they are just right,5.0,Fun and functional!,1381449600,"10 11, 2013",1,3,2,-0.3333333333333333,0
106,A1L4VUC6M35ZF9,B008Y41N0A,Mrs11k,"[1, 3]",too small for my husband but work great for my son  so next time id buy the xl for my husband  ,4.0,Bought for hubby & fit my son,1363737600,"03 20, 2013",1,3,2,-0.3333333333333333,0
111,AK061D4VP2KG3,B004U6J5A6,Amazon Customer,"[1, 8]",i ordered a pair of these pants and some blackhawk tactical pants on june 19 2013 i received the blackhawk pants within 3 days the vertz pants are supposed to arrive between mid july to mid august whats up do they need to go out and pick the cotton and hand sew this i might be able to understand if i had a size 80x40 but i have a size 36x34 wtfthe pants might be good based on reviews but i will never order anything from this company again,1.0,Still waiting!?!,1371859200,"06 22, 2013",1,8,7,-0.75,0
114,A31EH7VCW1BLZN,B000KGIELQ,"Tricia ""loves to cook""","[3, 3]",good quality and stays up on the leg washes well without any color fadding i would like a pair in every color,5.0,Never falls,1362873600,"03 10, 2013",3,3,0,1.0,1
131,A3LQDYVAAHHV2T,B0002VN5KY,FYI,"[1, 1]",some of us cant bear to have scratchy labels in our clothes to my chagrin ive ruined shirts by carefully cutting out brandlabels that are more intensively constructed and sewnin than the seams themselves only to find ive left a hole but no problem here this is a basic comfortable shirt with no annoying necklevel labels to contend with it leaves ample shoulder room yet is well designed and flattering even if theres a bit of a tummy involved holds up wash after wash its a surprisingly versatile and classy looking shirt considering the modest price enjoy,5.0,Reliable & Affordable Comfort,1374710400,"07 25, 2013",1,1,0,1.0,1
133,A3O22GDHWQLLIC,B005ZZBIBK,Sweet Pea,"[0, 1]",just received these in last night and was surprised how well they fit the material is thin and somewhat see through dont wear white undieshaha but overall the small fit just right 52 117 lbsthey bunch up at the bottom some but with heels its okay and they sit right at your belly button which after 2 kids is what i was looking for  im modeling for a motorcycle rally so these have the look we were going for im placing another order to have 2 pairs now and at this price you cant beat it  i have ordered 45 pairs of faux leather pants from various places including nordstroms and macys and none worked out except for these and much cheaper i gave 4 stars bc of how thin the material is but overall im pleased these will work and look great,4.0,Sweet & Sexy!,1350086400,"10 13, 2012",0,1,1,-1.0,0
135,A201ORWJWO4XCI,B00BJFNKB6,Enthusiast,"[0, 3]",amusing for about 30 seconds  then i discarded it  extremely cheap construction and useless metal band  i should have known better than to buy a watch for 599  shipped as a 34gift34 via us postage which of course is an illegal action by the shipper in china because i purchased the item,1.0,Amusing for about 30 seconds - Then I discarded it,1386892800,"12 13, 2013",0,3,3,-1.0,0
136,A3PHWH3X4AW5WZ,B00008KH9C,"Deborah A. Damiano ""Avid reader""","[5, 5]",this product works exactly as stated online or in magazines  it does not roll at the edges and helps keep you together,5.0,They Work!,1193875200,"11 1, 2007",5,5,0,1.0,1
139,A38EJVT7C2T6CH,B0006AAS4M,Marc McC,"[1, 1]",im a fan of invicta watches having owned three  all have been of fine quality the only 34knock34 on this brand being that most of their models are far too big for my wrist anything over 44 mm is too bigim not a large guyi owned the coinedged bezel model of this watch previously and decided to buy this model as the price as always was great and the appearance is way above average  i swim and snorkel but dont scuba dive and prefer a 200m watch for these activitiesthe 8926 is a great combination of a timepiece suitable for outdoor activities as well as business or dress wear  the rolexclone appearance lends itself for wearing at work or with a suit  the band is solid but not too heavymy two criticisms of the 8926 are these1  the bezel is virtually impossible to turn  i dont really care about this since i dont dive but i need one of those can grippers or latex gloves to move the thing  way too tight2  the foldover safety clasp while a great security feature is extremely difficult to open  you need pretty long fingernails to flip the thing up  maybe a little wd40 spray will alleviate thistimekeeping is average for an automatic movement watch  since i own quite a few watches and this requires winding daily it can be a bit of a hassle to reset it but thats what you get with an automaticall in all great watch for the price  i look forward to years of service from this one as with my previous invictas,4.0,"Nice watch, with a few flaws.",1393372800,"02 26, 2014",1,1,0,1.0,1
140,ABETKAHL8LIVA,B001OCKCHO,"Jeffrey Hill ""Jeff""","[0, 1]",i like these shorts but the material is ugh something thats hard to adjust to i bought these shorts mainly to walk around indoors and they serve that purpose very well but i will consider buying some made with a different texture next time,3.0,Ok I guess....,1355356800,"12 13, 2012",0,1,1,-1.0,0
142,A2V5R832QCSOMX,B00722CA16,Leanne,"[0, 1]",i love rykas and ordered this pair along with some others to try out  while these have wonderful cushioning and great arch support the inability to adjust the laces meant that they were too loose across the top for my narrow feetthey are also made for running so dont offer much lateral support im not marking off for that since theyre not meant to be a crosstrainer but am just pointing it outi had ordered these in the dark pink color and its such a fun color  i wish that these had worked but i think you need a wider foot for them,4.0,"Great cushioning, but a little too loose",1369180800,"05 22, 2013",0,1,1,-1.0,0
143,A160P6G5PDK38Z,B009OLG1TU,Judith L. Cole,"[0, 1]",if your little child loves 34steve34 in minecraft they will love this shirt  well done and cute design  perfect gift,5.0,Great shirt!,1381363200,"10 10, 2013",0,1,1,-1.0,0
146,A38X2XAYK8VS42,B001A5LRV0,dettel,"[0, 1]",i looked a long time for a great boot and found this a perfect quality and fit i did settle on a size larger to achieve a little extra width for my wide foot it works perfectly very happy to recommend bogs to anyone,5.0,Just Right Boot,1387756800,"12 23, 2013",0,1,1,-1.0,0
160,A3MZSOLYVM3J8T,B001B6JKIU,"M Kennedy ""Yoga Mom""","[0, 1]",it arrives very smelly from the rubber belt which is why i subtracted a star the wig is cheaply made but it works and the dress is nice not super sheer like another reviewer stated i dont think its cut all that small i read other reviews that said the small was too small im 53 and about 111 lbs and the medium has room its not so big that i will return it but i think i could have gone with the small after all however the tag says size 610 and theres no way someone that is size 10 could fit in this dress the length is good but the sleeves are super long im definitely going to wash it and try to get that smell out happy halloween,4.0,Leia costume works,1318464000,"10 13, 2011",0,1,1,-1.0,0
162,A1FPM7OR8Y2M6I,B000V2MXFM,elaine,"[0, 1]",im giving this 1 star as they too big bulky and too warm for our summers rather then send sold to other person,1.0,slippers,1390953600,"01 29, 2014",0,1,1,-1.0,0
168,A19BOHR0PJ7U8H,B005OVLPSG,ND,"[0, 1]",wore it once but it is big and did not have time to take it to make this smaller watch will stop if you do not wear it,3.0,ok watch,1397174400,"04 11, 2014",0,1,1,-1.0,0
174,A1U74JHTSHE13M,B000I6NRRY,Robin R,"[1, 1]",i bought these as a gift for my husband id just purchased some acorn polar mocs for myself and they are very comfortable i noticed that my husbands slippers were nasty and falling apart time for some new ones so i surprised him by ordering these for him he seemed so puzzled when i handed them to him but the minute he put them on he said they were so cushy  he walked kind of funny at first because hes not used to such luxury now i notice he wears them all the time even out to the end of the driveway to get the paper also he tends to have sweaty feet so its nice to know we can throw these in the washing machine when they need it,5.0,A perfect gift,1367712000,"05 5, 2013",1,1,0,1.0,1
177,AUV9WVTH0U2Q9,B005YRQOC2,elidalibre,"[0, 1]",im happy with my new glasseseverybody says it doesnt look chip  and they fit perfectly to my facei have a small face and they are just my size,5.0,my favorite glasses,1361232000,"02 19, 2013",0,1,1,-1.0,0
178,A2EWTO7MMG82OD,B0002THW64,"chocoholic ""great shopper""","[13, 13]",have been on a hunt for comfortable black tights with a good black color  these tights are a pleasure to wear and wash really nicely  the sizing is not so true  they run on the smaller side so i took one side up from my usual  prompt delivery was very convenient,5.0,finally comfortable plus sz tights,1241395200,"05 4, 2009",13,13,0,1.0,1
182,A50SHFDNBM19I,B000OYKOM6,Amazon Customer,"[3, 3]",i wore this belt on a 6 day canoe trip and really liked it  just cinch it as tight as you want and it stays that way all day  other belts ive had tend to slowly loosen over time especially while moving inout of a canoe and hauling all your gear over portages  ive started wearing this belt with khakis shorts and blue jeans so i went and bought 2 more,5.0,Bought 2 more,1374624000,"07 24, 2013",3,3,0,1.0,1
187,A1LRQUYCNQKVMQ,B000UVGLHU,"Kindle Customer ""Deb""","[7, 11]",this is an important mask for interpreting the overall message of the movie v is for vendetta  the mask is wellmade and durable when given normal care but if you put it into a small box with hardbacked books and other pointy objects and subject it to freezing temperatures it will crack and be destroyed in shipping  i have complained but gotten no response,1.0,Shipping is important!,1291680000,"12 7, 2010",7,11,4,0.2727272727272727,1
188,A3IKPGUSIPQQMG,B0006NAS7Q,neesa,"[1, 1]",this is one purchase where reading the reviews definitely helped most reviewers advised to order a size up which i did and i am so thankful for the advicei normally wear a medium but for this pants i bought the large and it fits perfectly good length and it does hold you this pants conforms to your shape but is not tight i purchased the black and will be buying the navy,4.0,Make sure an order a size up!!,1344384000,"08 8, 2012",1,1,0,1.0,1
191,A2NEBGGJKOMPFJ,B0008172S4,Marsha Gail Johnston,"[1, 1]",i wear black sweats around the house so wanted a black slipper but nothing that would enclose my foot totally these are ok but a little on the clunky side and because they are 78 and i wear a 712 are slightly large and i have to be careful especially going down steps on a flat surface they are better but i only wear with black pants otherwise they make me look like i have big feet cushioning is good and toe box is roomy i think many would be very satisfied with this slipper it is one of the best i have found except for the size,4.0,Pretty Good Slipper,1357430400,"01 6, 2013",1,1,0,1.0,1
192,A17BUXSHOUOP4M,B000Z6S3FS,Alesia,"[0, 1]",i purchased my regular bra size in the frontclosing model not only do the cups roll outwards which makes the outline of your cups visible even in a sweater but the straps are completely nonadjustable see the picture of the woman wearing the bra lifting the strap if you can pull the strap that far you arent getting much support the end seems a pretty high price to pay literally for a slight minimization of the amount of bra strap visible across your back it doesnt even make that much difference the better option is always a good fit after all the hoopla ive heard about spanx i can only wonder what body type their products are designed to fit since they cant be adjusted at all,2.0,Cups roll and you can't adjust ANY straps!,1236643200,"03 10, 2009",0,1,1,-1.0,0
197,A2W3B1RTVOC9GH,B000EXPUCG,"MAGIC GRANDMA ""TOY MENDER MAGICIAN""","[0, 1]",my brother lives in a small town in louisiana and never finds shoes that fit well i took a chance and ordered these and sent just knowing the size he said he wears he received them on time and really likes them my one complaint  is that they are called sport white so named by the makers i guess when ordering i just looked at the picture and to my mind they were 34bone34 which they are i get my confirmation of order and the shoe is described 34sport white34 i think oh no i meant to order beige or bone   so i try to cancel the 34sport white34 and order them in bone   only to discover that bone is called sport white by some color blind rockport ad writer i am advised by amazon it is too late to cancel  which means 2nd order was processed in the speed of light and i my brother in leesville may refuse delivery on the second package which he did but i have yet to hear from amazon about a credit on the second pair  meanwhile my advice is for someone somewhere to get themselves a color chart beigebone is not sport white and it would be nice to be advised of a credit without having to inquire,5.0,Perfect fit!,1371513600,"06 18, 2013",0,1,1,-1.0,0
204,AB39UO500J4EP,B000W8IWCS,CaptAdams35,"[0, 1]",first off these are no longer made in italy ray ban has moved the manufacture to china guess they were getting overtaxed too at any rate the quality is still there and this is still my favorite pair of sunglasses back when i did day patrol these were ideal for driving as they filter the haze out completely my only complaint is that they dont hold up to a 265 guy stepping on them in the middle of the night long story short cat decided to play with them and knocked them off the nightstand and when i got up to see what she was messing with i stepped squarely on them and ended up with glass in my foot excellent quality and they last a long time after 14 months of rigorous abuse throwing them on the dash having them knocked off while wrestling frisky folks and leaving them on the roof of the car and driving off to have them bounce off the pavement a few times before realizing i had left them up there great design great looks excellent durability and fantastic price very highly recommend,5.0,They lasted 2 years,1400112000,"05 15, 2014",0,1,1,-1.0,0
207,A28K7LCY4GNITJ,B000UZ5ZX2,R. SAFRENO,"[12, 14]",i agree wearlier review by bao  item isnt durable the pockets are a too tight making insertion and removal of credit cards difficult on most of my cards i needed to trim off 18 of a inch on one side after one year my first one had its inner liner nyloncame loose im on the second wallet and it is exactly just as tight with the pocketswhy do i like it you might ask color texture of the soft leather number of pockets and size hip huggerto list a few the good outweighs the bad and with the reasonable price ill get another one next year if need be,4.0,Looks nice but durability is questioned,1245024000,"06 15, 2009",12,14,2,0.7142857142857143,1
210,AHUYX2FP6SYQR,B00CE3LPZ0,mn30,"[0, 1]",dears sellers i love all your colors styles products very much its superb awesome it fit right perfect tremendous satisfied terrific hypnotizing gorgeous satisfaction pleased fantastic excellent splendid charming marvelous spectacular amazing magical super its like it make came send from in space out of this world and heaven  also by lords savior jesus christ dads jozeph and moms mary angels saints disciples i got it now very fast looking forward to buying more in the near frtre  thanks to you all,5.0,"AMOUR- WOMEN,S PATTERN LEGGINGS COTTON STRETCH- MANY DESIGNS",1400371200,"05 18, 2014",0,1,1,-1.0,0
213,A18MXEW7BUZ5MI,B000S6OL1K,babbleonandon,"[0, 1]",the boots are fine and i would be happy with them except that the little pull tab on the back of the boots have pulled off  because of the style and fit of the boot this little accessory was more necessary than any other boot or shoe i have ever owned and it failed almost immediately i noticed that i stopped wearing them for the i now need to use a shoe horn factor the boots are nice but if you dont want to wear them or become irritated in putting them on they are not as good as they could have been for me,2.0,Solid boot but really have one kind of fundamental problem,1333670400,"04 6, 2012",0,1,1,-1.0,0
223,A3D2LLNMKDAJOD,B002HJ2QXQ,Samara McDonald,"[0, 1]",while these arent my favorite pants to wear to work they suffice and are part of my rotation  i tend to wear these on the day the rest of my clothese go the the dry cleanersthey are a little more stiff than the dress slacks i like  they remind me of my days wearing khaki dockers to work versus wearing dress slacks,4.0,Part of my work slacks rotation,1381968000,"10 17, 2013",0,1,1,-1.0,0
225,AFTOJCGW8QXAV,B000OWC1HE,Jan Byrd,"[1, 1]",great styling  it could have been exactly what i have been searching for for months  i wear a 36dd in regular bras and fit perfectly in a 38dd in this one  this is a bearcat to get into  if you can put your bra on from the front and reach your arms around to fasten it then you will be okay with this one  i have great flexibility in my shoulders elbows and wrists and could not get this one fastened,3.0,Could have been a great bra,1332892800,"03 28, 2012",1,1,0,1.0,1
230,A1BETBZ48BEZSG,B0000C321X,DR,"[2, 2]",i wear levis pretty much everywhere and have been using the 501s 34x32 for a while now that im a grown up and all  maybe i have to wait until these ones stretch a little overall a very good product,4.0,A little tight on the crotch area,1378252800,"09 4, 2013",2,2,0,1.0,1
236,AONAVGU5PB0AS,B0007WFGWS,"K. Austin ""kellysue55""","[17, 18]",i love this dress  i was looking for something comfortable to wear around the house  it seems to run a little bit big but id rather that than have it run small  i ordered the dress in two colors and im glad i did,4.0,Comfy,1328745600,"02 9, 2012",17,18,1,0.8888888888888888,1
242,A1EKYNUG3Q4W1S,B009CCRK8C,terminmater,"[0, 1]",i just bought these last month for my husband  they are okay but i paid 2490 in may and now they are priced at 35 in june  the blue ones were even cheaper  i thought they were too high before  now i am definitely not interested,3.0,Decent but the price shot up,1404000000,"06 29, 2014",0,1,1,-1.0,0
246,A29FIW3P43MRKP,B00DW7M4DO,DEBBIE COTTON,"[0, 1]",very comfortable and fits me very well  i also like this color  very comfotable to workout in at the gym,5.0,Comfortable,1393372800,"02 26, 2014",0,1,1,-1.0,0
252,A2HUXYU0IQOMOB,B003URSIGS,R. Lambie,"[0, 1]",this watch works well but the backlight is my only issue hence the 4 stars other than that the watch is satisfactory for me casio really needs to get this irritating light issue in order already,4.0,I wanted a white watch.,1356307200,"12 24, 2012",0,1,1,-1.0,0
253,A1HGWZ8RZ8NS27,B001L6QGE6,sbb,"[0, 1]",no bells or whistles just a nice basic poncho made of a soft light weight vinyl  easy to get on  off keeps my dry enough when walking the dog in the rain i might get another one to keep in the car for major downpoursim 5 3 and it covers down to my knees and then some,5.0,Perfect!,1394496000,"03 11, 2014",0,1,1,-1.0,0
256,A77T576FK5I5I,B000UN04VM,Ahmed,"[0, 1]",ive ever seen or hold like this bag the size is suitable for many kind of student and job as well,5.0,Kenneth Cole is the best,1385337600,"11 25, 2013",0,1,1,-1.0,0
258,A1S0HYXDPKDDNO,B0007QMPOG,"Amazon Customer ""kmommy""","[1, 28]",i have yet to recieve this item its been 4 days past the estimated arrival date and i paid for 1 day shipping i wanted to wear it for my birthday yesturday and i ended up having to go out the day of and buy my own at a store nearby im very dissapointed and i plan to return it as soon as i get it it may have been a good bra but its worthless if it isnt delivered on time,1.0,Worthless............,1212019200,"05 29, 2008",1,28,27,-0.9285714285714286,0
268,A3ILTPM7MELMYN,B0002KNLS6,swms,"[1, 1]",i was moved to know that my own mother neve had an armoire so i shopped for a classic beautiful piece of furniture and i am very pleased with this but best of all my mom had tears when she saw how beautiful it was ans how nice the details,5.0,Present for Mom,1361836800,"02 26, 2013",1,1,0,1.0,1
270,A1TIJR1P8PUWO4,B000G8011Y,Sean W.,"[1, 1]",champion makes really good clothing after two years the elastic bands still keep the socks from creeping down to your ankles the material is extremely comfortable,5.0,"Excellent product, highly recommended",1389225600,"01 9, 2014",1,1,0,1.0,1
273,A1079CQTAUIX6J,B0013E4SZK,John Hufnagel,"[0, 1]",the quality was right the color was a favorite and the price was goodsomething had to wrong  it didthey are too tight  she accepted them in the hopes that they will stretch a bit while wearing to avoid the hassle of sending them backi would order the next size upafter a washing they will be a perfect fit,3.0,A gift that was accepted as is,1399507200,"05 8, 2014",0,1,1,-1.0,0
276,ATFY9YPPKZZBS,B008HTJ8MW,Therese C.,"[0, 1]",its kind of more exposed than i thought it would beit keeps riding up and show more than i am comfortable with i dont see myself wearing this outside of the house without tights underneath which is kind of hard considering these shorts are already so shortbut its soft has a nice feel,3.0,A Bit Too Open,1395187200,"03 19, 2014",0,1,1,-1.0,0
280,A1HPGF4D3FG70A,B000I1D0BC,happy amazoner,"[0, 1]",it was inexpensive so i should have knownyou dont get three outfits for that pricethese are just front pieces that tie in the backpretty cheaply made,3.0,good price -- cheap product,1385164800,"11 23, 2013",0,1,1,-1.0,0
287,A34W7FMC550OX6,B000MX3SH2,Deborah Bogen - author of The Witch of Leper ...,"[0, 1]",hate the bulge at the waist these comfy panties fit well and the lace waistline is sleek look better now,4.0,these are lovely and make your clothes look great,1403308800,"06 21, 2014",0,1,1,-1.0,0
291,A38PEFDMZDXZBQ,B000GX1TPQ,"BamaPrincess ""DeeDee""","[1, 1]",i got this wallet for my mom to go wthe purse i got her and she loves it  looks great and holds all her stuff  ty so much,5.0,Gift for my mom.,1378252800,"09 4, 2013",1,1,0,1.0,1
296,A3A5WTVE94JJM4,B000MFF89G,"Pre-geezer ""I miss 'Creature Features""","[5, 5]",these earrings are even more beautiful in person  the 4 marquise stones in each earring are perfectly matched and the silver workmanship is excellent  could not be happier with the quality and the value,5.0,Gorgeous color!,1233273600,"01 30, 2009",5,5,0,1.0,1
297,A3JLR9OQT78CTD,B000Q69UT0,rayne_jessi,"[1, 1]",i loved it excellent workmanship the picture on here doesnt give it justice at first i was a bit nervous thinking the openings might get stuck on things or my clothing but they dont at all the ring is very comfortable to wear i even wear it during work also it arrived very quick and in excellent over the top packaging definitely recommend,5.0,Loved it!,1349049600,"10 1, 2012",1,1,0,1.0,1
299,A2RJ1PRC6EYRMJ,B00083DGY6,C. D. Rife,"[4, 4]",finally found a pair of pants for a woman with a 34 inch inseam and they did not shrink and get too short after the first washing,5.0,very comfortable!,1372291200,"06 27, 2013",4,4,0,1.0,1
301,A32C63XVVA3JXE,B00802GMGG,"Petra Lefeber ""Tile Art""","[0, 1]",i returned the glasses  they just didnt look good on me  my son wanted to keep them they looked great on him,2.0,Just wasn't me,1367971200,"05 8, 2013",0,1,1,-1.0,0
303,A26NWMHAW4E6XN,B0000ZE74A,Jackie,"[1, 1]",i love that these are all cotton and the nicely 34padded34 or i should probably say just a little thicker leg band is great for summer on any times sweaing is an issue,5.0,Good when cotton needed,1400716800,"05 22, 2014",1,1,0,1.0,1
307,A16PDB0CIYNAMC,B0007T0ZKE,Moshie,"[1, 3]",i own quite a few boat shoes and this is definitely the worstthey are so bad theyre unwearablethese feel like your wearing dry plastici returned these and was so upset with how sebago has fallen,1.0,Stay Away,1343174400,"07 25, 2012",1,3,2,-0.3333333333333333,0
310,A2OFH2HNOC4J0X,B000NZW3J8,Zeus,"[0, 1]",i have a ton of wolf shirts and this is a welcome addition to my collection  it is a great looking shirt and i get a lot of comments about it,4.0,A Great Shirt,1402444800,"06 11, 2014",0,1,1,-1.0,0
311,APIMYZHHN4VVL,B0001YR4S6,Ben,"[0, 1]",it fit a little tight but other than that it was fine up until i decided to trip and fallit caught the barbed wire and tore it to shreds,3.0,HOORAY ITS A SHIRT,1379894400,"09 23, 2013",0,1,1,-1.0,0
318,A3GVG9FOZVEEMG,B003W01EW8,"TexMama ""NM Mom""","[0, 1]",this is a beautiful bra but it is not comfortable  the cups are great but the band moves around a lot  i have it on the smallest it will go and it just does not stay in place,2.0,Not Comfortable,1388275200,"12 29, 2013",0,1,1,-1.0,0
321,A2KCMKZB2QO0P5,B004XJB54O,AVJ,"[0, 1]",they were cute and an appropriate size for a child however i was disappointed to find that the backings are made of thin metal and do not stay on very well removing a shirt over the head tends to make an earring pop off fairly easily overall still pleased with them as long as we dont lose onethis is an update the earrings only lasted one week before both were lost a shame they were really cute kids earrings should have more secure backs out of 3 pairs of earrings purchased between the age of 1 and 2 none have survived the only pair that remain are a set i got my 2nd holes pierced with and put in my daughters ears so the holes wouldnt close they seem to have a stronger back than the childspecific ones purchased,4.0,Cute; Slightly impractical,1383177600,"10 31, 2013",0,1,1,-1.0,0
324,A2VAMK6ID6URRE,B0002TOZ1E,999 haunts,"[0, 1]",not much you can say about a sock but these are great they are not paper thin like many of the athletic socks you find now these socks provide lots of cushion and the upper elastic portion stays up on your leg without being too tight ive washed them a few times and they seem to be holding up quite well i will be purchasing more of these,5.0,Quality Socks,1398816000,"04 30, 2014",0,1,1,-1.0,0
332,A3EFTNT6QOCCOI,B002U82PA8,rogun,"[0, 1]",i own another pair of bass bucks in a size 11 and theyre almost too small for me but whenever i purchase other brands of bucks in this size theyre usually too big so i ordered these in a 105 as of yet i havent worn them much but i think the 105 will be fine because they seem to fit about the same as my other older bass bucks they may be slightly small and an 11 may have been the better choice but as of now i dont think so after theyre broken in i suspect these will fit great they do seem to run a little narrow but my feet are a little narrow so be warnedi really have no complaints about them but i will say that they could be more comfortable there are much more comfortable bucks out there and bass seems to be falling behind however these are not uncomfortable either but heyre just simple and plain with little padding in the soles ive owned bucks made by sperry and hush puppies that were far more comfortable and probably better quality too but the bass bucks seem to fit me betteroverall i think ill like them quite a bit and ill update this review if i find anything new to add,4.0,Nice shoes!,1387411200,"12 19, 2013",0,1,1,-1.0,0
